Dates,HUMI,PRES,Iws,Iprec
2010-01-01,59.12652173913043,1021.1434782608695,12.26086956521739,0.0
2010-01-02,68.41521739130435,1018.9782608695652,11.130434782608695,0.0
2010-01-03,72.35499999999999,1020.0625000000003,40.791666666666664,0.0
2010-01-04,73.02250000000002,1019.645833333333,18.041666666666668,0.0
2010-01-05,61.919166666666676,1028.683333333333,28.458333333333332,0.0
2010-01-06,62.43041666666667,1029.4083333333333,16.125,0.0
2010-01-07,66.08208333333333,1030.1416666666662,25.75,0.0
2010-01-08,56.87583333333334,1027.433333333333,19.958333333333332,0.0
2010-01-09,68.19749999999998,1024.9416666666664,7.666666666666667,0.0
2010-01-10,87.1770833333333,1024.5583333333332,82.08333333333333,3.082608695652174
2010-01-11,87.21541666666666,1027.808333333333,82.33333333333333,5.2
2010-01-12,57.80916666666667,1027.4166666666663,46.416666666666664,0.0
2010-01-13,45.37416666666667,1032.6875000000002,53.708333333333336,0.004166666666666667
2010-01-14,55.062916666666666,1029.2874999999997,11.25,0.0
2010-01-15,65.10095238095238,1031.5523809523813,29.666666666666668,0.0
2010-01-16,70.73374999999997,1033.5458333333333,11.333333333333334,0.0
2010-01-17,68.81166666666667,1031.6999999999994,10.458333333333334,0.0
2010-01-18,73.32375,1027.8916666666662,72.75,0.0
2010-01-19,82.31833333333333,1022.9125,173.66666666666666,0.0
2010-01-20,81.50041666666668,1018.6458333333334,51.083333333333336,0.0
2010-01-21,76.50583333333337,1029.391666666667,113.25,0.05000000000000001
2010-01-22,61.4775,1033.5166666666669,36.708333333333336,0.0
2010-01-23,47.54,1031.233333333333,27.291666666666668,0.0
2010-01-24,64.45833333333333,1024.841666666667,11.25,0.1708333333333333
2010-01-25,66.35541666666667,1029.7166666666674,40.958333333333336,0.15217391304347827
2010-01-26,66.4875,1030.6583333333326,41.916666666666664,0.0
2010-01-27,81.27208333333336,1018.4666666666668,39.625,1.9874999999999998
2010-01-28,78.13416666666664,1022.433333333333,18.125,0.0
2010-01-29,74.02249999999997,1025.0541666666668,16.583333333333332,0.0
2010-01-30,77.96875000000001,1018.8583333333332,23.833333333333332,0.0
2010-01-31,90.6354166666667,1018.625,15.416666666666666,2.370833333333333
2010-02-01,79.19083333333333,1020.8125,42.083333333333336,1.7583333333333335
2010-02-02,73.47083333333335,1023.858333333333,16.291666666666668,1.3416666666666668
2010-02-03,69.29499999999997,1026.3916666666662,83.875,0.045454545454545456
2010-02-04,65.00083333333332,1025.7916666666663,7.291666666666667,0.0
2010-02-05,62.14541666666667,1024.7333333333333,31.0,0.0
2010-02-06,73.66958333333334,1025.6749999999995,63.833333333333336,1.1695652173913043
2010-02-07,92.97541666666665,1020.9583333333334,12.958333333333334,0.12500000000000003
2010-02-08,85.79166666666669,1016.8666666666671,8.958333333333334,0.008333333333333333
2010-02-09,83.59375000000001,1011.5750000000002,8.125,0.041666666666666664
2010-02-10,90.59416666666665,1014.0875000000002,62.0,1.0125
2010-02-11,86.74916666666667,1022.5499999999996,83.54166666666667,3.3260869565217384
2010-02-12,69.61041666666667,1032.0250000000003,85.41666666666667,0.0
2010-02-13,65.2991666666667,1030.3374999999994,35.083333333333336,0.0
2010-02-14,89.11958333333335,1024.7166666666665,28.333333333333332,2.3333333333333335
2010-02-15,84.62625,1027.8416666666665,137.79166666666666,0.18750000000000003
2010-02-16,65.74166666666667,1032.0291666666665,35.125,0.0
2010-02-17,63.917083333333345,1029.095833333333,10.791666666666666,0.0
2010-02-18,53.07166666666668,1029.1999999999996,22.041666666666668,0.0
2010-02-19,48.34791666666666,1024.9583333333333,8.525833333333331,0.0
2010-02-20,52.25291666666664,1021.3333333333334,13.5,0.0
2010-02-21,58.39666666666667,1017.7208333333334,22.625,0.0
2010-02-22,71.48083333333332,1016.2000000000003,16.875,0.0
2010-02-23,79.40541666666665,1014.1875000000001,22.833333333333332,0.0
2010-02-24,71.59916666666668,1006.483333333333,80.16666666666667,0.225
2010-02-25,87.27958333333333,1006.7208333333333,12.916666666666666,0.17916666666666667
2010-02-26,88.89791666666667,1013.316666666667,43.208333333333336,0.1708333333333333
2010-02-27,87.55166666666666,1014.9541666666668,18.625,0.0391304347826087
